code;location;registered;envelopes;valid;ANO 2011;Blok proti islam.-Obran.domova;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Dobrá volba 2016;Dělnic.str.sociální spravedl.;Komunistická str.Čech a Moravy;Křesť.demokr.unie-Čs.str.lid.;Národ Sobě;Občanská demokratická aliance;Občanská demokratická strana;REALISTÉ;ROZUMNÍ-stop migraci,diktát.EU;Radostné Česko;Referendum o Evropské unii;SPORTOVCI;SPR-Republ.str.Čsl. M.Sládka;STAROSTOVÉ A NEZÁVISLÍ;Strana Práv Občanů;Strana svobodných občanů;Strana zelených;Svob.a př.dem.-T.Okamura (SPD);TOP 09;Česká pirátská strana;Česká str.sociálně demokrat.;Česká strana národně sociální;Řád národa - Vlastenecká unie
;Skalička;132;86;86;24;0;1;0;0;9;5;0;1;20;0;0;0;0;0;0;4;1;1;0;9;0;7;4;0;0
;Skryje;53;33;33;8;1;0;0;0;8;2;0;0;2;0;0;0;0;0;0;1;0;0;0;4;4;2;1;0;0
;Sobotovice;442;288;288;75;0;0;1;0;17;24;0;0;40;1;6;1;0;0;1;9;0;9;3;50;13;18;17;0;0
;Sokolnice;1768;1141;1141;281;1;2;1;0;76;94;1;2;172;5;10;0;4;5;3;38;6;27;19;149;70;84;85;0;0
;Stanoviště;299;187;187;42;0;0;0;0;17;33;0;0;24;1;2;0;10;1;0;6;0;2;2;19;5;9;14;0;0
;Strhaře;104;82;82;27;0;0;0;0;7;18;0;0;1;0;1;0;1;0;0;2;0;0;2;6;1;10;5;0;0
;Střelice;2312;1637;1635;408;1;1;3;2;65;322;1;5;206;13;11;1;2;5;3;46;1;27;23;135;75;180;92;0;3
;Svatoslav;356;227;227;70;1;0;0;1;29;13;0;0;13;0;2;0;0;0;0;7;1;11;0;23;6;14;34;0;0
;Synalov;99;69;69;17;0;1;0;0;13;19;0;0;3;0;1;0;0;1;0;0;0;1;0;7;0;0;6;0;0
;Syrovice;1219;837;837;198;1;0;0;2;44;96;0;0;140;2;13;1;0;7;2;24;5;12;13;68;44;82;74;0;3
;Šerkovice;231;136;136;36;0;0;0;0;12;5;0;0;15;0;0;0;0;1;0;9;0;4;1;21;7;16;8;0;0
;Šlapanice;5805;4058;4048;993;5;1;1;5;179;499;2;4;589;26;14;0;5;11;7;261;14;95;63;384;193;386;294;0;2
;Štěpánovice;418;300;300;71;1;0;1;2;25;38;0;0;42;0;4;0;0;1;2;14;1;5;2;31;5;31;24;0;0
;Šumice;211;102;102;41;0;0;0;0;13;1;0;0;0;0;0;0;0;2;1;4;1;1;3;13;3;12;7;0;0
;Telnice;1233;875;875;185;0;1;0;2;42;108;1;2;100;2;2;1;2;0;3;31;3;8;6;123;30;70;141;0;1
;Těšany;965;584;584;159;1;0;0;1;51;71;1;0;67;2;8;0;0;2;1;16;1;1;4;88;26;34;48;0;0
;Tetčice;893;607;602;167;0;0;2;1;41;26;1;1;92;9;3;0;0;2;1;16;0;10;12;92;21;56;47;0;0
;Tišnov;7112;4432;4429;1185;4;2;2;4;318;394;4;5;506;45;24;2;2;9;11;219;13;73;109;445;201;426;393;2;2
